Profundidad,Densidad,PEF,Zeff,Core,Seccion,Porosidad,Permeabilidad
4237.995161,2.4956772,3.3625472,14.005441,C001,T005,,
4237.997211,2.4861646,3.4119244,14.062269,C001,T005,,
4237.999262,2.4673874,3.5428526,14.210131,C001,T005,,
4238.001312,2.4869816,3.3971119,14.045284,C001,T005,,
4238.003363,2.4836226,3.3865333,14.033121,C001,T005,,
4238.005413,2.482265,3.3771079,14.022261,C001,T005,,
4238.007464,2.4832048,3.3749323,14.019751,C001,T005,,
4238.009514,2.473413,3.4375844,14.091566,C001,T005,,
4238.011565,2.4765027,3.4094398,14.059423,C001,T005,,
4238.013616,2.4812777,3.3892987,14.036303,C001,T005,,
4238.015666,2.4792221,3.3855159,14.03195,C001,T005,,
4238.017717,2.4762352,3.3929532,14.040505,C001,T005,,
4238.019767,2.4715397,3.4389284,14.093096,C001,T005,,
4238.021818,2.44557,3.5929701,14.265686,C001,T005,,
4238.023868,2.4619126,3.5065486,14.169532,C001,T005,,
4238.025919,2.4642754,3.4668748,14.124817,C001,T005,,
4238.027969,2.462996,3.4572959,14.113965,C001,T005,,
4238.03002,2.4748549,3.3715568,14.015854,C001,T005,,
4238.03207,2.4705014,3.3783507,14.023694,C001,T005,,
4238.034121,2.4558079,3.4613719,14.118585,C001,T005,,
4238.036171,2.4587324,3.4233763,14.075364,C001,T005,,
4238.038222,2.4674387,3.3664284,14.009929,C001,T005,,
4238.040272,2.4582727,3.4073164,14.056991,C001,T005,,
4238.042323,2.4789739,3.2958322,13.927693,C001,T005,,
4238.044373,2.4682741,3.3591719,14.001534,C001,T005,,
4238.046424,2.4695225,3.3456006,13.985798,C001,T005,,
4238.048474,2.4827485,3.2697484,13.896987,C001,T005,,
4238.050525,2.4761777,3.3105776,13.944974,C001,T005,,
4238.052576,2.4643202,3.377387,14.022583,C001,T005,,
4238.054626,2.4691098,3.3369758,13.975773,C001,T005,,
4238.056677,2.4588568,3.386631,14.033233,C001,T005,,
4238.058727,2.4691045,3.3189299,13.954738,C001,T005,,
4238.060778,2.4631996,3.3476539,13.988182,C001,T005,,
4238.062828,2.4743717,3.2758598,13.904197,C001,T005,,
4238.064879,2.4755216,3.2708728,13.898314,C001,T005,,
4238.066929,2.4701631,3.3105321,13.944921,C001,T005,,
4238.06898,2.4623067,3.3515818,13.992739,C001,T005,,
4238.07103,2.4698188,3.3063118,13.939981,C001,T005,,
4238.073081,2.4830413,3.2426355,13.864881,C001,T005,,
4238.075131,2.4714928,3.3228204,13.95928,C001,T005,,
4238.077182,2.4762022,3.2889802,13.919644,C001,T005,,
4238.079232,2.4759712,3.2937155,13.925208,C001,T005,,
4238.081283,2.470396,3.3091016,13.943247,C001,T005,,
4238.083333,2.4703531,3.3269124,13.964053,C001,T005,,
4238.085384,2.4729803,3.3104155,13.944785,C001,T005,,
4238.087434,2.4783545,3.2745221,13.90262,C001,T005,,
4238.089485,2.4760404,3.2875533,13.917966,C001,T005,,
4238.091535,2.4743688,3.3080978,13.942072,C001,T005,,
4238.093586,2.4763186,3.3084726,13.942511,C001,T005,,
4238.095637,2.4770265,3.3119366,13.946564,C001,T005,,
4238.097687,2.4759586,3.3083756,13.942397,C001,T005,,
4238.099738,2.4873018,3.2294292,13.849173,C001,T005,,
4238.101788,2.4796422,3.2646039,13.89091,C001,T005,,
4238.103839,2.4828796,3.227747,13.847168,C001,T005,,
4238.105889,2.4811263,3.2132041,13.82981,C001,T005,,
4238.10794,2.484504,3.1738007,13.78249,C001,T005,,
4238.10999,2.4833956,3.1683748,13.775941,C001,T005,,
4238.112041,2.4764326,3.1946254,13.807551,C001,T005,,
4238.114091,2.4803374,3.1651392,13.772031,C001,T005,,
4238.116142,2.4826157,3.1423335,13.744395,C001,T005,,
4238.118192,2.474596,3.17892,13.788662,C001,T005,,
4238.120243,2.4791608,3.150054,13.753767,C001,T005,,
4238.122293,2.4797125,3.138684,13.739959,C001,T005,,
4238.124344,2.4897554,3.0714643,13.65758,C001,T005,,
4238.126394,2.4878423,3.0762849,13.663531,C001,T005,,
4238.128445,2.4819076,3.1155388,13.711739,C001,T005,,
4238.130495,2.4840693,3.0974109,13.689531,C001,T005,,
4238.132546,2.4947088,3.0349278,13.612256,C001,T005,,
4238.134597,2.4980519,3.0201261,13.593782,C001,T005,,
